누적 확진률,누적 검사수,누적 검사 완료 수,치료 중 환자 수,격리 해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수,기준일,당일 확진자 수
1.363667431,7046775,6978901,6877,86625,1667,95169,67874,6883732,20210313,490
1.363480766,7012657,6943919,7274,85743,1662,94679,68738,6849240,20210312,488
1.363362007,6976978,6908730,7864,84675,1652,94191,68248,6814539,20210311,465
1.36455775,6938877,6868599,7766,84312,1648,93726,70278,6774873,20210310,470
1.364893195,6902977,6832476,7711,83900,1645,93256,70501,6739220,20210309,446
1.365976256,6861802,6794408,7694,83474,1642,92810,67394,6701598,20210308,346
1.364435288,6843119,6776723,7610,83220,1634,92464,66396,6684259,20210307,416
1.362308738,6821936,6756765,7503,82913,1632,92048,65171,6664717,20210306,418
1.36246771,6789004,6725297,7443,82560,1627,91630,63707,6633667,20210305,398
1.363339392,6751893,6691804,7451,82162,1619,91232,60089,6600572,20210304,424
1.36546628,6716196,6650329,7496,81700,1612,90808,65867,6559521,20210303,444
1.367382826,6681969,6608537,7420,81338,1606,90364,73432,6518173,20210302,344
1.365594246,6665747,6592002,7345,81070,1605,90020,73745,6501982,20210301,355
1.363496671,6648996,6576107,7365,80697,1603,89665,72889,6486442,20210228,355
1.361802856,6627207,6558218,7382,80333,1595,89310,68989,6468908,20210227,415
1.363190259,6590042,6521100,7430,79880,1585,88895,68942,6432205,20210226,387
1.365330286,6551206,6482534,7440,79487,1581,88508,68672,6394026,20210225,395
1.369066125,6510981,6435993,7487,79050,1576,88113,74988,6347880,20210224,440
1.370189069,6472671,6398606,7706,78394,1573,87673,74065,6310933,20210223,356
1.373626719,6429137,6356676,7868,77887,1562,87317,72461,6269359,20210222,332
1.37244108,6411333,6337977,7912,77516,1557,86985,73356,6250992,20210221,415
1.370974179,6390625,6314488,7934,77083,1553,86570,76137,6227918,20210220,449
1.372474868,6345985,6274869,8058,76513,1550,86121,71116,6188748,20210219,561
1.372806714,6303207,6232487,8120,75896,1544,85560,70720,6146927,20210218,621
1.372607322,6260560,6188150,8041,75360,1538,84939,72410,6103211,20210217,621
1.374021321,6213483,6136586,8233,74551,1534,84318,76897,6052268,20210216,457
1.37867916,6162852,6082706,8540,73794,1527,83861,80146,5998845,20210215,343
1.377757623,6140079,6061879,8437,73559,1522,83518,78200,5978361,20210214,326
1.37619376,6115330,6045079,8451,73227,1514,83192,70251,5961887,20210213,362
1.377629709,6093362,6012501,8387,72936,1507,82830,80861,5929671,20210212,403
1.376447447,6070001,5988387,8293,72638,1496,82427,81614,5905960,20210211,504
1.376871027,6030016,5949940,8211,72226,1486,81923,80076,5868017,20210210,444
1.379884866,5987398,5904768,8321,71676,1482,81479,82630,5823289,20210209,303
1.386830949,5938188,5853345,8484,71218,1474,81176,84843,5772169,20210208,288
1.388345369,5916967,5826216,8552,70865,1471,80888,90751,5745328,20210207,371
1.389261533,5893346,5795669,8548,70505,1464,80517,97677,5715152,20210206,390
1.396009594,5847174,5739717,8551,70117,1459,80127,107457,5659590,20210205,370
1.40354193,5803090,5682552,8605,69704,1448,79757,120538,5602795,20210204,451
1.411676332,5756709,5617860,8566,69299,1441,79306,138849,5538554,20210203,467
1.418696622,5711408,5557143,8629,68775,1435,78839,154265,5478304,20210202,336
1.424121446,5661837,5512381,8769,68309,1425,78503,149456,5433878,20210201,305
1.424043977,5640813,5491263,8900,67878,1420,78198,149550,5413065,20210131,354
1.422918225,5616524,5470729,9309,67121,1414,77844,145795,5392885,20210130,456
1.426111544,5569257,5426504,9486,66503,1399,77388,142753,5349116,20210129,469
1.428988634,5522182,5382758,9517,66016,1386,76919,139424,5305839,20210128,497
1.433589961,5469240,5330813,9566,65478,1378,76422,138427,5254391,20210127,559
1.435674359,5422761,5284137,9699,64793,1371,75863,138624,5208274,20210126,349
1.440686212,5376079,5241530,11198,62956,1360,75514,134549,5166016,20210125,437
1.438648888,5354342,5218577,11198,62530,1349,75077,135765,5143500,20210124,392
1.438166357,5329700,5193071,11304,62044,1337,74685,136629,5118386,20210123,431
1.442081737,5282216,5149084,11511,61415,1328,74254,133132,5074830,20210122,346
1.450163719,5237598,5096528,11746,60846,1316,73908,141070,5022620,20210121,400
1.457341804,5192119,5043978,12028,60180,1300,73508,148141,4970470,20210120,404
1.466194141,5140315,4985970,12353,59468,1283,73104,154345,4912866,20210119,386
1.475257315,5087209,4929174,12731,58723,1264,72718,158035,4856456,20210118,909
1.4725158,5032259,4876620,13019,57554,1236,71809,155639,4804811,20210116,580
1.479087326,4978063,4815740,13476,56536,1217,71229,162323,4744511,20210115,512
1.487023946,4925348,4755606,13750,55772,1195,70717,169742,4684889,20210114,524
1.496848095,4872301,4689387,14372,54636,1185,70193,182914,4619194,20210113,561
1.504809395,4814067,4627297,14898,53569,1165,69632,186770,4557665,20210112,537
1.514609144,4751666,4561903,15403,52552,1140,69095,189763,4492808,20210111,451
1.51465471,4723444,4531990,17110,50409,1125,68644,191454,4463346,20210110,657
1.50958738,4689604,4503681,17563,49324,1100,67987,185923,4435694,20210109,641
1.516958964,4629992,4439540,17896,48369,1081,67346,190452,4372194,20210108,674
1.522875336,4569796,4378034,17977,47649,1046,66672,191762,4311362,20210107,869
1.525770786,4504853,4312771,17781,46995,1027,65803,192082,4246968,20210106,838
1.530173855,4439347,4245596,17786,46172,1007,64965,193751,4180631,20210105,714
1.534952291,4376595,4185863,18030,45240,981,64251,190732,4121612,20210104,1020
1.52204206,4340825,4154353,17762,44507,962,63231,186472,4091122,20210103,657
1.51753665,4302780,4123393,18054,43578,942,62574,179387,4060819,20210102,820
1.509001128,4269303,4092376,17884,42953,917,61754,176927,4030622,20210101,1027
1.501831692,4213867,4043529,17557,42270,900,60727,170338,3982802,20201231,967
1.49859394,4159509,3987738,17446,41435,879,59760,171771,3927978,20201230,1050
1.494956717,4098166,3927204,17148,40703,859,58710,170962,3868494,20201229,1044
1.490687661,4038294,3868416,17579,39268,819,57666,169878,3810750,20201228,806
1.480951309,4006400,3839424,17012,39040,808,56860,166976,3782564,20201227,970
1.466009127,3969403,3812391,16565,38532,793,55890,157012,3756501,20201226,1131
1.447671509,3939346,3782557,15938,38048,773,54759,156789,3727798,20201225,1240
1.434186313,3882196,3731663,15338,37425,756,53519,150533,3678144,20201224,985
1.430100938,3826556,3673447,15069,36726,739,52534,153109,3620913,20201223,1090
1.420599914,3772416,3621287,14794,35928,722,51444,151129,3569843,20201222,866
1.417778888,3713849,3567411,14725,35155,698,50578,146438,3516833,20201221,924
1.401227224,3683083,3543608,14258,34722,674,49654,139475,3493954,20201220,1097
1.379459443,3646235,3520002,13564,34334,659,48557,126233,3471445,20201219,1045
1.365611493,3589792,3479174,12885,33982,645,47512,110618,3431662,20201218,1064
1.35039861,3538835,3439577,12204,33610,634,46448,99258,3393129,20201217,1014
1.338665524,3488761,3393977,11875,32947,612,45434,94784,3348543,20201216,1078
1.324953947,3441212,3347739,11197,32559,600,44356,93473,3303383,20201215,880
1.314354263,3397031,3307784,10787,32102,587,43476,89247,3264308,20201214,718
1.301828186,3374585,3284458,10364,31814,580,42758,90127,3241700,20201213,1030
1.278778492,3349856,3263114,9657,31493,578,41728,86742,3221386,20201212,950
1.261103622,3311205,3233517,9049,31157,572,40778,77688,3192739,20201211,689
1.250758929,3277938,3205174,8888,30637,564,40089,72764,3165085,20201210,1211
1.234153658,3221449,3150175,8676,29650,552,38878,71274,3111297,20201208,-531
1.240004745,3253213,3178133,8676,30177,556,39409,75080,3138724,20201209,1257
1.214506979,3209367,3141357,8302,29301,549,38152,68010,3103205,20201207,615
1.200361224,3194858,3127142,7864,29128,545,37537,67716,3089605,20201206,631
1.185080052,3180487,3114220,7449,28917,540,36906,66267,3077314,20201205,577
1.174407365,3157407,3093390,7182,28611,536,36329,64017,3057061,20201204,628
1.164379719,3131884,3066096,6820,28352,529,35701,65788,3030395,20201203,540
1.155922091,3106968,3041814,6570,28065,526,35161,65154,3006653,20201202,511
1.147691881,3083995,3019103,6239,27885,526,34650,64892,2984453,20201201,451
1.140801353,3061170,2997805,6048,27625,526,34199,63365,2963606,20201130,438
1.131370852,3046908,2984079,5696,27542,523,33761,62829,2950318,20201129,450
1.120395702,3031940,2973146,5440,27349,522,33311,58794,2939835,20201128,503
1.111057679,3009499,2952862,5189,27103,516,32808,56637,2920054,20201127,555
1.099801168,2987982,2932621,4788,26950,515,32253,55361,2900368,20201126,581
1.088196409,2966342,2910504,4334,26825,513,31672,55838,2878832,20201125,382
1.083236082,2946336,2888567,4058,26722,510,31290,57769,2857277,20201124,349
1.079732567,2922072,2865617,3893,26539,509,30941,56455,2834676,20201123,271
1.074331704,2908827,2854798,3699,26466,505,30670,54029,2824128,20201122,330
1.066305655,2896683,2845338,3472,26365,503,30340,51345,2814998,20201121,386
1.060229637,2873380,2825237,3190,26263,501,29954,48143,2795283,20201120,348
1.05424336,2853795,2808270,3010,26098,498,29606,45525,2778664,20201119,325
1.048880158,2834332,2791644,2812,25973,496,29281,42688,2762363,20201118,285
1.045069995,2815753,2774551,2642,25860,494,28996,41202,2745555,20201117,230
1.042482824,2797688,2759374,2513,25759,494,28766,38314,2730608,20201116,222
1.037775705,2786876,2750498,2360,25691,493,28544,36378,2721954,20201115,208
1.033182078,2777287,2742595,2208,25636,492,28336,34692,2714259,20201114,205
1.029952879,2761409,2731290,2106,25537,488,28131,30119,2703159,20201113,191
1.027022378,2749770,2720486,2049,25404,487,27940,29284,2692546,20201112,143
1.026536241,2736532,2707844,2044,25266,487,27797,28688,2680047,20201111,145
1.025628091,2723959,2696104,2007,25160,485,27652,27855,2668452,20201110,100
1.02675863,2709198,2683396,2043,25029,480,27552,25802,2655844,20201109,126
1.024416645,2702879,2677231,1980,24968,478,27426,25648,2649805,20201108,143
1.021440784,2697248,2671031,1896,24910,477,27283,26217,2643748,20201107,89
1.02206801,2686313,2660684,1897,24821,476,27194,25629,2633490,20201106,145
1.021239933,2673705,2648643,1839,24735,475,27049,25062,2621594,20201105,125
1.020619749,2662260,2638005,1825,24616,474,26924,24255,2611081,20201104,117
1.021591101,2649859,2624044,1869,24510,472,26807,25815,2597237,20201103,75
1.023772886,2636650,2611126,1812,24395,468,26732,25524,2584394,20201102,97
1.02214605,2630630,2605792,1736,24357,466,26635,24838,2579157,20201101,124
1.020119177,2624492,2598814,1694,24311,464,26511,25678,2572303,20201031,127
1.020318981,2612231,2585858,1641,24227,463,26384,26373,2559474,20201030,113
1.021490534,2597978,2571830,1612,24168,462,26271,26148,2545559,20201029,125
1.021305784,2582960,2560056,1602,24073,461,26146,22904,2533910,20201028,103
1.023467883,2567587,2544584,1593,23981,460,26043,23003,2518541,20201027,88
1.025281049,2552264,2531501,1510,23905,457,25955,20763,2505546,20201026,119
1.023425171,2546146,2524464,1484,23869,457,25836,21682,2498628,20201025,61
1.023308405,2540679,2518791,1526,23834,457,25775,21888,2493016,20201024,77
1.024563121,2528621,2508191,1443,23717,455,25698,20430,2482493,20201023,155
1.02355749,2515325,2495512,1388,23647,453,25543,19813,2469969,20201022,121
1.0234316,2503489,2483996,1420,23584,450,25422,19493,2458574,20201021,89
1.024825926,2491311,2471932,1463,23466,447,25333,19379,2446599,20201020,58
